,en,vi,char,
story.Prologue_Classroom_3.event_boxpuzzle_fail.text.57f9f313ef9b933534f125ca2240fca642f775cc,"On second thought, I don't feel like it.",Nghỉ lại thì chộ hỏng mún mần mô,,
,,,,
story.Prologue_Classroom_3.event_boxpuzzle_success.text.ad8b5428ef886ff5b431a2e97eef79ef8fffb226,Phew!,Phew!,,
,,,,
story.Prologue_Classroom_3.event_saki_desk.text.0d661add80126c7a3f9f8c72113e68227aba3614,"This is my desk. Juli sits in front of me, and Kaya sits behind.","Tau ngồi trơn bờn ni. Juli ngồi trước mặc tau, Kaya ngồi đèng sau.",Saki,
story.Prologue_Classroom_3.event_saki_desk.text.fd141e42cc289e104322660970b444bacc80870f,I see…,Ời.,Kat,
story.Prologue_Classroom_3.event_saki_desk.text.3868b1980eefb18f01f9f111cab289a3af14c584,Thanks for letting me know…?,Cốm ơng dì đả núa,Kat,
,,,,
story.Prologue_Classroom_3.event_saki_desk.text.918d904c3f954c2dc44debd8abc0a2d11e120e73,Saki's desk.,Bờn cụa Saki.,,
,,,,
story.Prologue_Classroom_3.item_candles_on_desks.text.87d3eaef68887c05be7b24ccd160e1b33ab3106e,This isn't the right classroom for that.,Mần chuỵng ở buồng ni lè sai rầu.,,
,,,,
story.Prologue_Classroom_3.item_chalk.text.004ccd56b002de2e15a0e5e583d482e9b2363b6e,The path is already drawn.,Đàng đả đặng vẻ,,
,,,,
story.Prologue_Classroom_3.item_chalk.text.948d8b2c36e66fc40d736faa8415a54c32e2e197,Not yet. I'd rather make sure I have everything I need first.,"Chưa, cần phảy lấy nhửng cấy miềng cần.",,
,,,,
story.Prologue_Classroom_3.item_chalk.text.ccb1964d634b8a6efbb6a1762c66e590109e0ed9,Not yet. I want to finish preparing the classrooms first.,"Chưa, cần chuẩn bị xong hớt buồng học.",,
,,,,
story.Prologue_Classroom_3.item_chalk_on_chalkboard.text.f65fd7db1d4855f7802d390a5a1ae1656c3ad1bb,I'd rather not get into anymore trouble than I already am.,Hỏng mún mần thêm phiềng phức nựa mô,,
,,,,
story.Prologue_Classroom_3.item_curtains_on_window.text.fb2d41d9de9ffb9d4f4d9b210f62b288a52a7d3b,This window already has curtains.,Cửa kiếng ni treo rèm rầu.,,
,,,,
story.Prologue_Classroom_3.item_lighter.text.3adfe6b1f1e9026c0734b1e39793ba66e53343ed,Burning the school down is not part of the ritual.,Trung nghi thức lồm chi cọ đốt tràng hỷ.,,
,,,,
story.Prologue_Classroom_3.item_lighter_on_desks.text.3adfe6b1f1e9026c0734b1e39793ba66e53343ed,Burning the school down is not part of the ritual.,Trung nghi thức lồm chi cọ đốt tràng hỷ.,,
,,,,
story.Prologue_Classroom_3.item_lighter_on_window1.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,Thâu chắc quéo đốt bựa ni mô.,,
,,,,
story.Prologue_Classroom_3.item_lighter_on_window2.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,Thâu chắc quéo đốt bựa ni mô.,,
,,,,
story.Prologue_Classroom_3.item_lighter_on_window3.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,Thâu chắc quéo đốt bựa ni mô.,,
,,,,
story.Prologue_Classroom_3.item_notebook.text.c831ec5f71bf0834fb5275b138308d4652967897,There's a red notebook here.,Cuốn tập đỏ ở chổ ni.,,
,,,,
story.Prologue_Classroom_3.item_notebook.text.06646aeae86caf3ed63228dcab5bd3f02f02c145,There's nothing else here.,Nỏ cọ chi khác hớt.,,
,,,,
story.Prologue_Classroom_3.item_scissors_on_plant.text.32c9aa0ef29cbdc3d781c065a4a0f57fba68afcd,It's already done.,Đả đặng cắt.,,
,,,,
story.Prologue_Classroom_3.item_scissors_on_plant.text.e3c35488f648b0db0375773a5a07c86be37d04e0,This isn't the time for that.,Chừ nỏ phảy lúc mần chiệng nớ.,,
,,,,
story.Prologue_Classroom_3.misc_books.text.a69f16b3e1b41228da2b583f8b133947006c0658,Some world encyclopedias.,Mấy cuốn bách khoa toàn thư.,,
story.Prologue_Classroom_3.misc_books.text.122c53a85b3a3d2d63a44c7586aed2871c388ca2,I would definitely steal one of these if they weren't so darn heavy.,Tau định lấy một cuốn nhưng hắn nẹng (nặng) chớt má,Kat,
story.Prologue_Classroom_3.misc_books.text.67366504024c50438a61f97e7e4853fc1d3894ca,You can borrow my books if you need…,Cọ cần thì lấy cấy cụa tau nà,Kaya,
story.Prologue_Classroom_3.misc_books.text.50578934420c3b27390c65b91950a7a9516bac63,I'll keep that in mind.,Ời.,Kat,
,,,,
story.Prologue_Classroom_3.misc_chalkboard.text.996c7ffde7f4de6e04435eeeafaf0751c8d69a1c,A clean chalkboard.,Bảng phấn sạch,,
,,,,
story.Prologue_Classroom_3.misc_desk.text.9eb16580a197d2cf1a69fc82764f982b5be5d5e7,A wooden desk.,Bờn gổ.,,
,,,,
story.Prologue_Classroom_3.misc_paper.text.961984b22eb28e1b3c80db89f933dee6e2613d98,Two paper slips filled with rules and regulations.,Hai tờ giấy nội quy tràng.,,
story.Prologue_Classroom_3.misc_paper.text.eb7268e8dd3b94d272e0dd845c47e857a6a15746,I wonder if it says somewhere that we're not allowed on school grounds at night.,Cấy ni cọ cho học sanh dô tràng lúc khuya hong ta,,
story.Prologue_Classroom_3.misc_paper.text.59e91aadf34fbc9d6ce5b6c834fe07dfaefe7f09,Oh well! I guess we'll never know if I don't read it!,"Khỏi đọc đi, sợ sẻ biếc đặng ngay sau đọ",,
,,,,
story.Prologue_Classroom_3.misc_pinboard.text.33e38a6ca97d020cf943319b0b6050a281afb2ca,Some classroom attendance sheets and schedules.,Sấp điểm danh dới thời khuế bỉu,,
,,,,
story.Prologue_Classroom_3.misc_plant.text.7219399b824ee80374fd4252111163dbe7afa70c,A happy green plant.,Cấy cân dui dẻ,,
,,,,
story.Prologue_Classroom_3.misc_plant.text.125dd56afe0d4478e1a7f34c9ec48fc2a7e4bd6c,The plant is no longer happy.,Cấy cân hớt dui dẻ,,
,,,,
story.Prologue_Classroom_3.misc_plants.text.4d70a9992533b62d0dffed12e8fef918aa146331,Some cute potted plants. Their silent nature enchants you.,Vài chậu cân. Sự im lặng của hắn mần miềng khoái,,
,,,,
story.Prologue_Classroom_3.misc_podium.text.760df8526ebfc0a8d9b9154494a4cd9c6baf7726,The teacher's podium.,Bục giảng thầy o giáo.,,
story.Prologue_Classroom_3.misc_podium.text.6ce15ca27f5ca48d71b4a016f33833bcd78fb44f,A geography book and a globe sit atop it.,Sách dáo khuê Địa lý dới quả địa cầu.,,
,,,,
story.Prologue_Classroom_3.misc_shelf.text.bd28c802e52a8bcdea8b40a5aeb08aab922efd18,Some boring textbooks.,Sách dáo khuê.,,
,,,,
story.Prologue_Classroom_3.misc_shelf2a.text.bdec03e7317af0a79fa94cc26f0693db67eac16f,"Some very thick, school-related books.","Vài cuốn sách dày núa dìa tràng.",,
,,,,
